Date,SR ID,Route Name,Shop Name,Visit Start,Visit End,GPS Status,Product Category,SKU Name,Qty (Pcs),Unit Price,Total Val,Stock in Shop,Order Status,Payment Mode,Shop ID,Order ID,Distributor Name,Latitude,Longitude,Return Order,SR Daily Target
20-Mar-26,SR-101,Uttara-10,Brothers Store,09:11:48,09:22:17,Matched,Furniture,RFL Plastic Table,5,516,2580,27,Confirmed,Credit,SHOP-1394,ORD-664102,Dhaka South Depot,23.8738,90.3984,No,60000
09-Mar-26,SR-53,Mohammadpur,Hasan Traders,13:25:53,13:34:56,Matched,Kitchenware,RFL Spice Box,17,5972,101524,43,Cancelled,bKash,SHOP-5165,ORD-310258,Narayanganj Hub,23.757,90.358,No,30000
28-Mar-26,SR-146,Uttara-3,Hasan Traders,16:09:13,16:23:17,Weak,Plastics,RFL Plastic Chair,2,385,770,40,Pending,Nagad,SHOP-8606,ORD-342753,Dhaka South Depot,23.8759,90.3795,No,60000
17-Mar-26,SR-78,Mirpur-10,Hasan Traders,10:39:00,11:01:19,Matched,Kitchenware,RFL Spice Box,24,4015,96360,56,Confirmed,Credit,SHOP-3967,ORD-791205,Dhaka South Depot,23.8067,90.3687,No,40000
12-Mar-26,SR-58,Savar,Azad Store,11:47:52,11:58:15,Weak,Electronics,Vision LED TV 32,3,2131,6393,36,Confirmed,bKash,SHOP-2103,ORD-228354,Chittagong Depot,23.8583,90.2667,No,60000
21-Mar-26,SR-72,Mirpur-1,Tanzim Traders,16:02:19,16:28:17,Matched,Kitchenware,RFL Rice Container,25,3036,75900,51,Confirmed,bKash,SHOP-4316,ORD-448157,Gazipur Distributor,23.8041,90.3556,No,60000
10-Mar-26,SR-38,Uttara-3,Azad Store,09:52:54,10:13:05,Matched,Kitchenware,RFL Food Carrier,1,2025,2025,0,Confirmed,Cash,SHOP-3276,ORD-150849,Gazipur Distributor,23.8759,90.3795,No,40000
27-Mar-26,SR-117,Mirpur-1,Al Madina Shop,13:02:51,13:20:43,Weak,Household,RFL Mop Set,20,3143,62860,36,Cancelled,Credit,SHOP-7352,ORD-507586,Dhaka South Depot,23.8041,90.3556,No,40000
13-Mar-26,SR-100,Narayanganj,Maa Enterprise,14:25:25,14:47:17,Matched,Plastics,RFL Plastic Chair,23,970,22310,24,Confirmed,Cash,SHOP-2173,ORD-214886,Dhaka South Depot,23.6238,90.5,No,40000
29-Mar-26,SR-74,Chittagong,New Market Traders,11:36:24,11:48:54,Matched,Electronics,Vision Fan,8,4413,35304,0,Pending,Nagad,SHOP-5482,ORD-337318,Dhaka North Depot,22.3569,91.7832,No,40000
29-Mar-26,SR-127,Savar,Omar Store,12:02:28,12:27:31,Matched,Electronics,Vision LED TV 32,3,5298,15894,9,Confirmed,bKash,SHOP-8493,ORD-598329,Chittagong Depot,23.8583,90.2667,No,30000
13-Mar-26,SR-32,Uttara-10,Tanzim Traders,09:17:21,09:30:26,Matched,Kitchenware,RFL Rice Container,20,4896,97920,54,Cancelled,Credit,SHOP-8348,ORD-139838,Dhaka South Depot,23.8738,90.3984,No,40000
04-Mar-26,SR-83,Savar,Green Valley Shop,14:20:07,14:30:56,Matched,Kitchenware,RFL Rice Container,11,3116,34276,19,Pending,Cash,SHOP-2086,ORD-707346,Gazipur Distributor,23.8583,90.2667,No,40000
01-Mar-26,SR-145,Gazipur,Bismillah Store,15:02:09,15:11:10,Matched,Kitchenware,RFL Rice Container,16,4240,67840,30,Confirmed,Credit,SHOP-6992,ORD-288694,Chittagong Depot,24.0023,90.4264,No,30000
25-Mar-26,SR-98,Uttara-3,Karim Store,13:28:35,13:33:54,Matched,Kitchenware,RFL Rice Container,11,3151,34661,26,Confirmed,Cash,SHOP-4950,ORD-440868,Dhaka North Depot,23.8759,90.3795,No,30000
04-Mar-26,SR-148,Uttara-3,Karim Store,09:07:52,09:29:02,Matched,Electronics,Vision LED TV 43,13,2904,37752,52,Confirmed,Cash,SHOP-8739,ORD-750077,Gazipur Distributor,23.8759,90.3795,No,30000
21-Mar-26,SR-21,Narayanganj,Al Madina Shop,10:55:08,11:09:08,Matched,Electronics,Vision LED TV 43,25,5321,133025,13,Confirmed,bKash,SHOP-3649,ORD-233548,Chittagong Depot,23.6238,90.5,No,30000
13-Mar-26,SR-118,Savar,Bismillah Store,11:34:13,11:55:41,Matched,Electronics,Vision Fan,24,2747,65928,54,Confirmed,Cash,SHOP-9004,ORD-346027,Gazipur Distributor,23.8583,90.2667,No,40000
02-Mar-26,SR-101,Uttara-3,Amin Variety,14:55:50,15:05:32,Matched,Plastics,RFL Water Jug,15,2065,30975,27,Confirmed,bKash,SHOP-3484,ORD-541952,Narayanganj Hub,23.8759,90.3795,No,50000
25-Mar-26,SR-24,Mirpur-1,Al Madina Shop,10:04:26,10:15:40,Weak,Household,RFL Dustbin,12,811,9732,57,Confirmed,bKash,SHOP-5748,ORD-211340,Gazipur Distributor,23.8041,90.3556,No,50000
07-Mar-26,SR-49,Narayanganj,Azad Store,15:47:32,15:59:01,Matched,Kitchenware,RFL Spice Box,19,5671,107749,48,Confirmed,Cash,SHOP-6053,ORD-679113,Dhaka North Depot,23.6238,90.5,No,50000
19-Mar-26,SR-25,Mirpur-1,New Market Traders,15:58:40,16:20:26,Matched,Kitchenware,RFL Spice Box,22,1015,22330,42,Confirmed,Nagad,SHOP-1966,ORD-950078,Dhaka North Depot,23.8041,90.3556,No,30000
09-Mar-26,SR-88,Narayanganj,Karim Store,09:01:19,09:27:09,Not Matched,Kitchenware,RFL Food Carrier,15,2423,36345,60,Pending,bKash,SHOP-9462,ORD-295886,Dhaka South Depot,23.6238,90.5,No,40000
18-Mar-26,SR-30,Gazipur,Al Madina Shop,10:56:30,11:04:26,Matched,Furniture,RFL Wardrobe,6,3901,23406,54,Confirmed,Credit,SHOP-2953,ORD-523996,Dhaka South Depot,24.0023,90.4264,No,60000
13-Mar-26,SR-89,Mirpur-10,Green Valley Shop,09:21:12,09:34:41,Not Matched,Furniture,RFL Wardrobe,15,2825,42375,32,Cancelled,bKash,SHOP-4829,ORD-351098,Dhaka South Depot,23.8067,90.3687,No,50000
14-Mar-26,SR-112,Mirpur-1,Omar Store,11:27:23,11:33:00,Matched,Kitchenware,RFL Food Carrier,6,1005,6030,6,Pending,Credit,SHOP-4292,ORD-187761,Chittagong Depot,23.8041,90.3556,No,60000
